SPECIES	Longitude	Latitude
Adenocalymma schomburgkii 	-63.5640	6.2210
Adenocalymma schomburgkii 	-61.0830	7.0830
Adenocalymma schomburgkii 	-64.9160	7.0000
Adenocalymma schomburgkii 	-62.7830	6.2500
Adenocalymma schomburgkii 	-61.1310	6.7350
Adenocalymma schomburgkii 	-65.8330	3.1500
Adenocalymma schomburgkii 	-66.4833	2.1167
Adenocalymma schomburgkii 	-67.7000	4.0486
Adenocalymma schomburgkii 	-67.0667	1.9167
Adenocalymma schomburgkii 	-67.0500	1.9660
Adenocalymma schomburgkii 	-67.0500	1.9330
Adenocalymma schomburgkii 	-65.9500	2.8000
Adenocalymma schomburgkii 	-65.2533	2.9000
Adenocalymma schomburgkii 	-66.4160	1.5830
Adenocalymma schomburgkii 	-67.0330	4.3830
Adenocalymma schomburgkii 	-66.4830	2.0330
Adenocalymma schomburgkii 	-67.5330	4.4000
Adenocalymma schomburgkii 	-67.5500	2.7167
Adenocalymma schomburgkii 	-65.5500	3.1667
Adenocalymma schomburgkii 	-66.3167	2.6333
Adenocalymma schomburgkii 	-66.3300	2.5980
Adenocalymma schomburgkii 	-65.9290	2.8710
Adenocalymma schomburgkii 	-55.6337	5.0294
Adenocalymma schomburgkii 	-56.8803	4.7582
Adenocalymma schomburgkii 	-56.5000	3.5166
Adenocalymma schomburgkii 	-57.0000	3.3333
Adenocalymma schomburgkii 	-57.1873	4.4392
Adenocalymma schomburgkii 	-56.8750	4.7561
Adenocalymma schomburgkii 	-56.8333	5.6667
Adenocalymma schomburgkii 	-54.8167	4.8167
Adenocalymma schomburgkii 	-73.0330	-4.0680
Adenocalymma schomburgkii 	-73.3400	-3.7840
Adenocalymma schomburgkii 	-70.2810	-4.1670
Adenocalymma schomburgkii 	-73.2340	-3.7480
Adenocalymma schomburgkii 	-73.9490	-2.9280
Adenocalymma schomburgkii 	-73.3750	-3.8260
Adenocalymma schomburgkii 	-73.2500	-3.6660
Adenocalymma schomburgkii 	-73.1000	-3.4830
Adenocalymma schomburgkii 	-72.8330	-3.5000
Adenocalymma schomburgkii 	-73.9000	-3.6660
Adenocalymma schomburgkii 	-73.5000	-3.8330
Adenocalymma schomburgkii 	-72.8330	-3.7000
Adenocalymma schomburgkii 	-72.9160	-3.2500
Adenocalymma schomburgkii 	-73.3330	-4.1660
Adenocalymma schomburgkii 	-72.9160	-3.3330
Adenocalymma schomburgkii 	-74.1660	-3.8330
Adenocalymma schomburgkii 	-73.4600	-3.8290
Adenocalymma schomburgkii 	-73.2470	-3.7480
Adenocalymma schomburgkii 	-69.9950	-4.3100
Adenocalymma schomburgkii 	-73.0600	-3.4670
Adenocalymma schomburgkii 	-73.1910	-3.7880
Adenocalymma schomburgkii 	-72.6840	-3.3420
Adenocalymma schomburgkii 	-58.9160	3.8830
Adenocalymma schomburgkii 	-59.3500	4.0000
Adenocalymma schomburgkii 	-59.3000	3.8160
Adenocalymma schomburgkii 	-59.3330	3.7500
Adenocalymma schomburgkii 	-59.5160	4.0160
Adenocalymma schomburgkii 	-59.4330	3.1160
Adenocalymma schomburgkii 	-59.4660	3.0660
Adenocalymma schomburgkii 	-58.5830	4.2500
Adenocalymma schomburgkii 	-59.5660	5.0000
Adenocalymma schomburgkii 	-58.1660	5.3330
Adenocalymma schomburgkii 	-60.1160	6.0830
Adenocalymma schomburgkii 	-59.7000	6.7830
Adenocalymma schomburgkii 	-53.5667	4.2333
Adenocalymma schomburgkii 	-75.8667	-0.1167
Adenocalymma schomburgkii 	-71.3350	0.1660
Adenocalymma schomburgkii 	-70.1630	1.1980
Adenocalymma schomburgkii 	-71.9570	1.3570
Adenocalymma schomburgkii 	-67.9290	3.6360
Adenocalymma schomburgkii 	-75.5000	1.4500
Adenocalymma schomburgkii 	-70.0330	-2.9830
Adenocalymma schomburgkii 	-70.2660	-3.1500
Adenocalymma schomburgkii 	-70.0330	-3.0160
Adenocalymma schomburgkii 	-72.0790	-0.7520
Adenocalymma schomburgkii 	-72.1660	-0.6000
Adenocalymma schomburgkii 	-72.2500	-0.6330
Adenocalymma schomburgkii 	-60.5000	3.0330
Adenocalymma schomburgkii 	-61.6670	3.4170
Adenocalymma schomburgkii 	-61.1521	1.2912
Adenocalymma schomburgkii 	-61.5661	-0.6864
Adenocalymma schomburgkii 	-61.7536	3.7345
Adenocalymma schomburgkii 	-63.4330	-8.7660
Adenocalymma schomburgkii 	-51.9170	-2.6500
Adenocalymma schomburgkii 	-50.7330	-2.6660
Adenocalymma schomburgkii 	-54.6830	-2.4000
Adenocalymma schomburgkii 	-51.9000	-1.1500
Adenocalymma schomburgkii 	-47.7830	-1.6670
Adenocalymma schomburgkii 	-55.8330	-1.7500
Adenocalymma schomburgkii 	-57.3330	-7.7500
Adenocalymma schomburgkii 	-57.5160	-7.5830
Adenocalymma schomburgkii 	-47.1170	-1.1330
Adenocalymma schomburgkii 	-48.4830	-1.4500
Adenocalymma schomburgkii 	-52.2500	-3.2170
Adenocalymma schomburgkii 	-62.8653	-0.9413
Adenocalymma schomburgkii 	-67.1830	0.9000
Adenocalymma schomburgkii 	-60.0935	-3.0160
Adenocalymma schomburgkii 	-60.3877	-2.6852
Adenocalymma schomburgkii 	-65.5500	-1.8000
Adenocalymma schomburgkii 	-61.2500	-1.4160
Adenocalymma schomburgkii 	-62.9170	-0.4170
Adenocalymma schomburgkii 	-59.4574	-1.2271
Adenocalymma schomburgkii 	-60.8208	-2.4795
Adenocalymma schomburgkii 	-57.6830	-3.3160
Adenocalymma schomburgkii 	-58.5480	-4.4622
Adenocalymma schomburgkii 	-60.0830	-2.3160
Adenocalymma schomburgkii 	-60.6170	-3.2670
Adenocalymma schomburgkii 	-59.5344	-4.9569
Adenocalymma schomburgkii 	-63.2830	0.8160
Adenocalymma schomburgkii 	-62.5000	-1.0000
Adenocalymma schomburgkii 	-51.7500	0.7000
Amphilophium granulosum 	-61.5500	4.6660
Amphilophium granulosum 	-61.0880	6.7140
Amphilophium granulosum 	-61.1370	4.9820
Amphilophium granulosum 	-61.2200	7.5320
Amphilophium granulosum 	-61.4210	4.5940
Amphilophium granulosum 	-61.6000	4.5000
Amphilophium granulosum 	-61.5830	4.5000
Amphilophium granulosum 	-61.7810	7.6170
Amphilophium granulosum 	-61.1310	6.7350
Amphilophium granulosum 	-71.9500	7.1660
Amphilophium granulosum 	-71.9330	7.1500
Amphilophium granulosum 	-66.0000	0.7667
Amphilophium granulosum 	-67.5333	5.6500
Amphilophium granulosum 	-66.0660	0.8410
Amphilophium granulosum 	-66.1660	0.8330
Amphilophium granulosum 	-66.1830	0.8330
Amphilophium granulosum 	-74.5380	-8.3820
Amphilophium granulosum 	-69.6660	-13.3500
Amphilophium granulosum 	-69.8330	-13.5000
Amphilophium granulosum 	-69.2830	-12.8160
Amphilophium granulosum 	-69.7160	-12.8160
Amphilophium granulosum 	-69.0660	-12.5830
Amphilophium granulosum 	-69.3330	-12.8330
Amphilophium granulosum 	-54.0000	5.4160
Amphilophium granulosum 	-54.0167	4.7833
Amphilophium granulosum 	-53.6667	5.3833
Amphilophium granulosum 	-53.8500	5.5660
Amphilophium granulosum 	-71.3350	0.1660
Amphilophium granulosum 	-72.5530	1.9200
Amphilophium granulosum 	-60.8670	2.4170
Amphilophium granulosum 	-61.7330	0.4670
Amphilophium granulosum 	-60.5500	1.2000
Amphilophium granulosum 	-60.3880	2.7070
Amphilophium granulosum 	-61.5000	3.4660
Amphilophium granulosum 	-52.2330	-1.7500
Amphilophium granulosum 	-55.5000	-1.8670
Amphilophium granulosum 	-54.5000	-0.9160
Amphilophium granulosum 	-54.4330	-0.9160
Amphilophium granulosum 	-54.8830	-2.6670
Amphilophium granulosum 	-64.7000	-3.3900
Amphilophium granulosum 	-59.7100	-2.7100
Amphilophium granulosum 	-70.8830	-5.2500
Amphilophium granulosum 	-59.9000	-2.3000
Amphilophium granulosum 	-60.4000	-3.8000
Amphilophium granulosum 	-68.7667	-13.5833
Amphilophium racemosum 	-62.6160	10.7000
Amphilophium racemosum 	-61.5930	8.3710
Amphilophium racemosum 	-62.2830	8.4660
Amphilophium racemosum 	-61.1000	9.1890
Amphilophium racemosum 	-63.7830	6.0500
Amphilophium racemosum 	-63.3000	6.2660
Amphilophium racemosum 	-61.4500	6.2160
Amphilophium racemosum 	-61.6330	6.7330
Amphilophium racemosum 	-63.4530	5.0840
Amphilophium racemosum 	-61.1310	6.7350
Amphilophium racemosum 	-67.0330	3.9667
Amphilophium racemosum 	-66.9500	2.0000
Amphilophium racemosum 	-66.0000	0.7667
Amphilophium racemosum 	-66.4833	2.1167
Amphilophium racemosum 	-66.8500	1.2500
Amphilophium racemosum 	-66.5330	1.9500
Amphilophium racemosum 	-67.0500	1.9330
Amphilophium racemosum 	-66.9830	1.9500
Amphilophium racemosum 	-67.0660	1.9330
Amphilophium racemosum 	-67.0830	1.9160
Amphilophium racemosum 	-67.0667	1.9167
Amphilophium racemosum 	-66.2500	0.8830
Amphilophium racemosum 	-64.6000	3.8160
Amphilophium racemosum 	-66.1000	5.3160
Amphilophium racemosum 	-65.7500	3.6660
Amphilophium racemosum 	-65.7160	3.7000
Amphilophium racemosum 	-67.5660	4.9000
Amphilophium racemosum 	-67.2500	5.5830
Amphilophium racemosum 	-66.5000	2.0000
Amphilophium racemosum 	-66.4160	1.0830
Amphilophium racemosum 	-65.5500	3.1667
Amphilophium racemosum 	-66.1660	0.8330
Amphilophium racemosum 	-66.1830	0.8330
Amphilophium racemosum 	-56.1250	5.1500
Amphilophium racemosum 	-56.2000	3.9000
Amphilophium racemosum 	-56.1905	3.9061
Amphilophium racemosum 	-54.8541	2.7680
Amphilophium racemosum 	-55.1833	5.5833
Amphilophium racemosum 	-74.6160	-9.0330
Amphilophium racemosum 	-75.1660	-8.6660
Amphilophium racemosum 	-75.3790	-8.9540
Amphilophium racemosum 	-76.5330	-8.1660
Amphilophium racemosum 	-76.6500	-7.9500
Amphilophium racemosum 	-69.6660	-13.2000
Amphilophium racemosum 	-69.8330	-13.5000
Amphilophium racemosum 	-74.9500	-10.2000
Amphilophium racemosum 	-75.1660	-10.3330
Amphilophium racemosum 	-75.3000	-10.3330
Amphilophium racemosum 	-70.1000	-12.5700
Amphilophium racemosum 	-69.3000	-12.8160
Amphilophium racemosum 	-69.7160	-12.8160
Amphilophium racemosum 	-69.5670	-13.1340
Amphilophium racemosum 	-69.3330	-12.8330
Amphilophium racemosum 	-73.3570	-3.8280
Amphilophium racemosum 	-73.0330	-4.0680
Amphilophium racemosum 	-74.5830	-5.3830
Amphilophium racemosum 	-73.6260	-3.8470
Amphilophium racemosum 	-73.3400	-3.7840
Amphilophium racemosum 	-73.2650	-3.6900
Amphilophium racemosum 	-72.2270	-3.1180
Amphilophium racemosum 	-73.9850	-4.9850
Amphilophium racemosum 	-73.2660	-3.8330
Amphilophium racemosum 	-73.3750	-3.8260
Amphilophium racemosum 	-73.3350	-3.8640
Amphilophium racemosum 	-76.7620	-3.9000
Amphilophium racemosum 	-73.2700	-3.7470
Amphilophium racemosum 	-73.3500	-3.7500
Amphilophium racemosum 	-73.4160	-3.8330
Amphilophium racemosum 	-73.3330	-3.6660
Amphilophium racemosum 	-73.4160	-3.9160
Amphilophium racemosum 	-73.2500	-3.6660
Amphilophium racemosum 	-70.2810	-4.1670
Amphilophium racemosum 	-72.9160	-3.3330
Amphilophium racemosum 	-73.5000	-3.8330
Amphilophium racemosum 	-73.5830	-3.9160
Amphilophium racemosum 	-73.3330	-3.8330
Amphilophium racemosum 	-73.5830	-4.4830
Amphilophium racemosum 	-75.8330	-3.2500
Amphilophium racemosum 	-76.1660	-2.4160
