"","Consensus_area","Bioregion","Ub","Uc"
"601","D3CA14","Boreal Brazilian dominion","95.7359","48.2903"
"602","D3CA14","South-eastern Amazonian dominion","37.3142","5.6551"
"603","D3CA14","South Brazilian dominion","41.538","20.7843"
"604","D3CA14","Pacific dominion","53.7465","11.9254"
"605","D3CA14","Cerrado province","0.1363","0.0404"
"606","D3CA14","Pará province","60.7844","3.3338"
"607","D3CA14","Xingu-Tapajós province","37.3142","5.6551"
"608","D3CA14","Roraima province","100","9.3057"
"609","D3CA14","Guianan Lowlands province","100","8.0373"
"610","D3CA14","Madeira province","63.2844","13.8545"
"611","D3CA14","Rondônia province","21.4835","4.4313"
"612","D3CA14","Ucayali province","76.4223","2.2832"
"613","D3CA14","Yungas province","4.7639","0.216"
"614","D3CA14","Puna province","0.6855","0.0579"
"615","D3CA14","Ecuadorian province","38.1931","0.2534"
"616","D3CA14","Western Ecuador province","14.5841","0.1419"
"617","D3CA14","Chocó-Darién province","13.7535","0.1614"
"618","D3CA14","Guajira province","23.2594","0.5786"
"619","D3CA14","Venezuelan province","57.8592","0.884"
"620","D3CA14","Sabana province","99.9861","6.8409"
"621","D3CA14","Trinidad province","100","0.0707"
"622","D3CA14","Pantepui province","100","8.1318"
"623","D3CA14","Imerí province","100","15.3814"
"624","D3CA14","Magdalena province","43.069","1.4094"
"625","D3CA14","Napo province","100","4.1024"
"626","D3CA14","Cauca province","49.9942","1.5852"
"627","D3CA14","Paramo province","75.881","1.1054"
"628","D3CA14","Lesser Antilles province","5.9922","0.0054"
"629","D3CA15","Neotropical region","12.3895","99.9927"
"630","D3CA15","Chacoan subregion","19.162","60.9572"
"631","D3CA15","Brazilian subregion","8.1808","31.9934"
"632","D3CA15","South American Transition Zone","10.5834","7.0454"
"633","D3CA15","Chacoan dominion","20.0446","43.5014"
"634","D3CA15","Parana dominion","30.2829","17.4578"
"635","D3CA15","South Brazilian dominion","22.3008","31.9934"
"636","D3CA15","Cerrado province","11.4753","9.748"
"637","D3CA15","Araucaria Forest province","53.7692","4.624"
"638","D3CA15","Pampean province","5.6991","2.8439"
"639","D3CA15","Chacoan province","63.143","30.9191"
"640","D3CA15","Madeira province","0.5869","0.3684"
"641","D3CA15","Rondônia province","44.5223","26.33"
"642","D3CA15","Monte province","0.278","0.0609"
"643","D3CA15","Parana Forest province","35.8197","12.835"
"644","D3CA15","Yungas province","40.7545","5.2968"
"645","D3CA15","Puna province","28.843","6.9845"
"646","D3CA16","Neotropical region","6.5909","42.2999"
"647","D3CA16","Neartic region","26.8047","8.7711"
"648","D3CA16","Brazilian subregion","10.1055","31.4267"
"649","D3CA16","Mexican Transition Zone","62.1664","10.8301"
"650","D3CA16","Antillean subregion","0.5922","0.0444"
"651","D3CA16","Pacific dominion","5.9087","2.9891"
"652","D3CA16","Mesoamerican dominion","90.8116","28.4376"
"653","D3CA16","Puntarenas-Chiriquí province","84.089","1.7284"
"654","D3CA16","Sierra Madre Occidental province","22.2573","1.8241"
"655","D3CA16","Pacific Lowlands province","76.2344","7.2848"
"656","D3CA16","Transmexican Volcanic Belt province","100","2.6759"
"657","D3CA16","Balsas Basin province","100","1.9782"
"658","D3CA16","Sierra Madre del Sur province","100","2.2002"
"659","D3CA16","Sierra Madre Oriental province","79.6518","0.8594"
"660","D3CA16","Yucatán Peninsula province","100","4.5011"
"661","D3CA16","Veracruzan province","100","10.2405"
"662","D3CA16","Chiapas Highlands province","100","3.2705"
"663","D3CA16","Guatuso-Talamanca province","57.9877","1.2614"
"664","D3CA16","Cuban province","1.1946","0.0444"
"665","D3CA16","Mosquito province","87.9675","4.4329"
"666","D3CA17","Neotropical region","34.0355","96.1834"
"667","D3CA17","Chacoan subregion","14.2513","15.8741"
"668","D3CA17","Brazilian subregion","57.8995","79.285"
"669","D3CA17","South American Transition Zone","4.3982","1.0252"
"670","D3CA17","Chacoan dominion","3.0833","2.343"
"671","D3CA17","Boreal Brazilian dominion","77.3263","39.1574"
"672","D3CA17","South-eastern Amazonian dominion","88.9352","13.5313"
"673","D3CA17","South Brazilian dominion","79.7932","40.0828"
"674","D3CA17","Pacific dominion","0.2031","0.0452"
"675","D3CA17","Cerrado province","7.8771","2.343"
"676","D3CA17","Pará province","61.4777","3.3851"
"677","D3CA17","Xingu-Tapajós province","88.9352","13.5313"
"678","D3CA17","Roraima province","98.0167","9.1569"
"679","D3CA17","Guianan Lowlands province","84.3503","6.8061"
"680","D3CA17","Madeira province","100","21.9784"
"681","D3CA17","Rondônia province","70.4354","14.5853"
"682","D3CA17","Ucayali province","95.2604","2.8572"
"683","D3CA17","Yungas province","14.5791","0.6635"
"684","D3CA17","Puna province","6.5787","0.5578"
"685","D3CA17","Desert province","7.2469","0.1786"
"686","D3CA17","Pantepui province","62.8841","5.1337"
"687","D3CA17","Imerí province","69.8015","10.7786"
"688","D3CA17","Napo province","94.6348","3.8975"
"689","D3CA17","Cauca province","1.4212","0.0452"
"690","D3CA17","Paramo province","19.7539","0.2889"
"691","D3CA18","Neotropical region","12.4685","80.1502"
"692","D3CA18","Chacoan subregion","29.4476","74.6119"
"693","D3CA18","Brazilian subregion","1.7785","5.5396"
"694","D3CA18","Chacoan dominion","21.6396","37.4048"
"695","D3CA18","Parana dominion","81.0379","37.2096"
"696","D3CA18","South Brazilian dominion","4.848","5.5396"
"697","D3CA18","Cerrado province","32.2206","21.8001"
"698","D3CA18","Araucaria Forest province","100","6.8495"
"699","D3CA18","Atlantic province","66.0921","6.9662"
"700","D3CA18","Pampean province","12.2528","4.8698"
"701","D3CA18","Chacoan province","27.5441","10.7425"
"702","D3CA18","Rondônia province","11.7607","5.5396"
"703","D3CA18","Parana Forest province","82.0146","23.4066"
"704","D3CA19","Neotropical region","10.2178","99.9876"
"705","D3CA19","Chacoan subregion","2.8157","10.8603"
"706","D3CA19","Brazilian subregion","18.7965","89.1279"
"707","D3CA19","Chacoan dominion","0.1827","0.4808"
"708","D3CA19","South-eastern Amazonian dominion","19.7011","10.3795"
"709","D3CA19","Boreal Brazilian dominion","21.3073","37.3623"
"710","D3CA19","South Brazilian dominion","29.7598","51.7656"
"711","D3CA19","Cerrado province","0.4668","0.4808"
"712","D3CA19","Xingu-Tapajós province","19.7011","10.3795"
"713","D3CA19","Roraima province","46.1161","14.9184"
"714","D3CA19","Guianan Lowlands province","14.4647","4.0415"
"715","D3CA19","Madeira province","61.0027","46.4263"
"716","D3CA19","Rondônia province","7.447","5.3398"
"717","D3CA19","Pantepui province","27.0134","7.6364"
"718","D3CA19","Imerí province","20.1348","10.7663"
"719","D3CA20","Neotropical region","10.2544","99.9876"
"720","D3CA20","Chacoan subregion","1.1769","4.5231"
"721","D3CA20","Brazilian subregion","20.2049","95.4647"
"722","D3CA20","South-eastern Amazonian dominion","8.6159","4.5231"
"723","D3CA20","Boreal Brazilian dominion","32.4746","56.7414"
"724","D3CA20","South Brazilian dominion","22.3414","38.7233"
"725","D3CA20","Xingu-Tapajós province","8.6159","4.5231"
"726","D3CA20","Roraima province","68.3072","22.0184"
"727","D3CA20","Guianan Lowlands province","30.1375","8.3906"
"728","D3CA20","Madeira province","51.0151","38.6869"
"729","D3CA20","Rondônia province","0.0509","0.0364"
"730","D3CA20","Pantepui province","27.0134","7.6092"
"731","D3CA20","Imerí province","35.1419","18.7238"
"732","D3CA21","Neotropical region","16.6995","96.1951"
"733","D3CA21","Chacoan subregion","13.8713","31.4943"
"734","D3CA21","Brazilian subregion","23.1803","64.7019"
"735","D3CA21","Chacoan dominion","2.5262","3.913"
"736","D3CA21","Boreal Brazilian dominion","15.7157","16.2219"
"737","D3CA21","South-eastern Amazonian dominion","88.9352","27.5816"
"738","D3CA21","South Brazilian dominion","47.3467","48.48"
"739","D3CA21","Cerrado province","6.4539","3.913"
"740","D3CA21","Pará province","61.4777","6.9"
"741","D3CA21","Xingu-Tapajós province","88.9352","27.5816"
"742","D3CA21","Roraima province","35.6254","6.7841"
"743","D3CA21","Guianan Lowlands province","15.4181","2.5359"
"744","D3CA21","Madeira province","74.0651","33.1811"
"745","D3CA21","Rondônia province","35.9286","15.1651"
"746","D3CA21","Yungas province","1.4457","0.1341"
"747","D3CA21","Imerí province","0.0063","0.002"
"748","D3CA22","Neotropical region","4.0448","75.2061"
"749","D3CA22","Brazilian subregion","8.335","75.0951"
"750","D3CA22","South American Transition Zone","0.0724","0.111"
"751","D3CA22","Boreal Brazilian dominion","6.071","20.2273"
"752","D3CA22","Pacific dominion","37.4391","54.8708"
"753","D3CA22","Guianan Lowlands province","0.0279","0.0148"
"754","D3CA22","Guajira province","44.6308","7.3331"
"755","D3CA22","Venezuelan province","99.7719","10.0685"
"756","D3CA22","Sabana province","82.9114","37.4699"
"757","D3CA22","Pantepui province","33.5019","17.9949"
"758","D3CA22","Imerí province","2.1827","2.2177"
"759","D3CA22","Paramo province","1.1539","0.111"
"760","D3CA23","Neotropical region","15.5083","96.3366"
"761","D3CA23","Chacoan subregion","0.2712","0.6641"
"762","D3CA23","Brazilian subregion","28.9271","87.0723"
"763","D3CA23","South American Transition Zone","16.7863","8.6009"
"764","D3CA23","Chacoan dominion","0.3976","0.6641"
"765","D3CA23","South Brazilian dominion","52.4594","57.9261"
"766","D3CA23","Pacific dominion","21.7682","10.6587"
"767","D3CA23","Boreal Brazilian dominion","16.6096","18.4886"
"768","D3CA23","Chacoan province","1.7622","0.6641"
"769","D3CA23","Madeira province","25.6895","12.4111"
"770","D3CA23","Rondônia province","68.9355","31.3781"
"771","D3CA23","Ucayali province","100","6.5931"
"772","D3CA23","Yungas province","75.4594","7.5486"
"773","D3CA23","Puna province","23.5762","4.3942"
"774","D3CA23","Desert province","44.2725","2.3982"
"775","D3CA23","Ecuadorian province","92.4783","1.3539"
"776","D3CA23","Western Ecuador province","89.838","1.9291"
"777","D3CA23","Chocó-Darién province","13.7535","0.3563"
"778","D3CA23","Sabana province","4.7297","0.7141"
"779","D3CA23","Imerí province","27.7976","9.4355"
"780","D3CA23","Magdalena province","14.989","1.0824"
"781","D3CA23","Napo province","100","9.0531"
"782","D3CA23","Cauca province","74.648","5.2233"
"783","D3CA23","Paramo province","56.2854","1.8095"
"784","D3CA24","Neotropical region","13.4332","93.3182"
"785","D3CA24","Chacoan subregion","27.5809","75.5203"
"786","D3CA24","Brazilian subregion","1.6972","5.713"
"787","D3CA24","South American Transition Zone","21.0933","12.0864"
"788","D3CA24","Parana dominion","19.2085","9.5314"
"789","D3CA24","Chacoan dominion","35.327","65.9906"
"790","D3CA24","South Brazilian dominion","4.6265","5.713"
"791","D3CA24","Araucaria Forest province","28.0932","2.0795"
"792","D3CA24","Pampean province","67.034","28.7918"
"793","D3CA24","Chacoan province","88.2594","37.1992"
"794","D3CA24","Rondônia province","4.9333","2.5112"
"795","D3CA24","Monte province","25.1281","4.7397"
"796","D3CA24","Prepuna province","9.7697","0.3763"
"797","D3CA24","Parana Forest province","24.1617","7.452"
"798","D3CA24","Yungas province","28.6227","3.202"
"799","D3CA24","Puna province","33.2546","6.9313"
"800","D3CA24","Atacaman province","0.9612","0.0393"
"801","D3CA25","Neotropical region","3.0963","64.2401"
"802","D3CA25","Brazilian subregion","6.3899","64.2401"
"803","D3CA25","Boreal Brazilian dominion","17.2792","64.2401"
"804","D3CA25","Roraima province","16.8301","11.5433"
"805","D3CA25","Guianan Lowlands province","85.0482","50.382"
"806","D3CA25","Pantepui province","3.8825","2.327"
"807","D3CA26","Neotropical region","4.6759","50.4433"
"808","D3CA26","Neartic region","0.3574","0.1966"
"809","D3CA26","Brazilian subregion","7.6317","39.8941"
"810","D3CA26","Mexican Transition Zone","36.0311","10.5511"
"811","D3CA26","Pacific dominion","1.87","1.5901"
"812","D3CA26","Mesoamerican dominion","72.7693","38.3041"
"813","D3CA26","Puntarenas-Chiriquí province","19.4269","0.6712"
"814","D3CA26","Pacific Lowlands province","49.4962","7.9503"
"815","D3CA26","Transmexican Volcanic Belt province","33.1023","1.4889"
"816","D3CA26","Balsas Basin province","20.9934","0.6981"
"817","D3CA26","Sierra Madre del Sur province","93.3113","3.451"
"818","D3CA26","Sierra Madre Oriental province","6.2769","0.1138"
"819","D3CA26","Yucatán Peninsula province","99.0622","7.4951"
"820","D3CA26","Veracruzan province","86.7253","14.9283"
"821","D3CA26","Chiapas Highlands province","100","5.4974"
"822","D3CA26","Guatuso-Talamanca province","25.1302","0.9189"
"823","D3CA26","Mosquito province","85.3813","7.2323"
"824","D3CA27","Neotropical region","11.1014","97.2956"
"825","D3CA27","Brazilian subregion","21.1499","89.8196"
"826","D3CA27","South American Transition Zone","10.346","7.4792"
"827","D3CA27","South Brazilian dominion","27.8818","43.437"
"828","D3CA27","Pacific dominion","21.7684","15.0383"
"829","D3CA27","Boreal Brazilian dominion","19.9594","31.3459"
"830","D3CA27","Madeira province","12.2173","8.3275"
"831","D3CA27","Rondônia province","33.1098","21.2632"
"832","D3CA27","Ucayali province","98.2596","9.1402"
"833","D3CA27","Yungas province","33.3751","4.7104"
"834","D3CA27","Puna province","11.2162","2.9494"
"835","D3CA27","Desert province","18.0021","1.3758"
"836","D3CA27","Ecuadorian province","54.2852","1.1213"
"837","D3CA27","Chocó-Darién province","51.3535","1.8769"
"838","D3CA27","Sabana province","10.4841","2.2333"
"839","D3CA27","Imerí province","38.8617","18.6109"
"840","D3CA27","Magdalena province","52.6847","5.3678"
"841","D3CA27","Napo province","99.7039","12.735"
"842","D3CA27","Cauca province","44.9759","4.4401"
"843","D3CA27","Paramo province","69.5429","3.1542"
"844","D3CA28","Neotropical region","4.7887","99.9887"
"845","D3CA28","Chacoan subregion","3.2051","26.3783"
"846","D3CA28","Brazilian subregion","7.2756","73.6124"
"847","D3CA28","South-eastern Amazonian dominion","23.4648","26.3783"
"848","D3CA28","South Brazilian dominion","19.8332","73.6124"
"849","D3CA28","Xingu-Tapajós province","23.4648","26.3783"
"850","D3CA28","Madeira province","44.8887","72.8949"
"851","D3CA28","Rondônia province","0.4692","0.7178"
"852","D3CA29","Neotropical region","11.3651","80.8882"
"853","D3CA29","Chacoan subregion","28.8061","80.8097"
"854","D3CA29","Brazilian subregion","0.0228","0.0785"
"855","D3CA29","Chacoan dominion","18.4451","35.3005"
"856","D3CA29","Parana dominion","89.5286","45.5145"
"857","D3CA29","South Brazilian dominion","0.062","0.0785"
"858","D3CA29","Caatinga province","16.4769","4.8269"
"859","D3CA29","Cerrado province","36.398","27.2661"
"860","D3CA29","Araucaria Forest province","96.4937","7.3178"
"861","D3CA29","Atlantic province","77.7344","9.0715"
"862","D3CA29","Pampean province","5.2596","2.3145"
"863","D3CA29","Chacoan province","2.0682","0.8931"
"864","D3CA29","Rondônia province","0.1505","0.0785"
"865","D3CA29","Parana Forest province","92.2162","29.139"
"866","D3CA3","Neotropical region","21.2314","74.9692"
"867","D3CA3","Chacoan subregion","50.4888","70.2695"
"868","D3CA3","Brazilian subregion","2.7468","4.6999"
"869","D3CA3","Chacoan dominion","48.7849","46.321"
"870","D3CA3","Boreal Brazilian dominion","7.4278","4.6999"
"871","D3CA3","Parana dominion","86.623","21.8481"
"872","D3CA3","South-eastern Amazonian dominion","11.0648","2.1035"
"873","D3CA3","Caatinga province","100","14.5339"
"874","D3CA3","Cerrado province","80.3966","29.8797"
"875","D3CA3","Pará province","68.3123","4.6999"
"876","D3CA3","Araucaria Forest province","98.0763","3.6901"
"877","D3CA3","Xingu-Tapajós province","11.0648","2.1035"
"878","D3CA3","Atlantic province","100","5.7897"
"879","D3CA3","Pampean province","8.7371","1.9075"
"880","D3CA3","Parana Forest province","78.9399","12.3753"
"881","D3CA30","Neotropical region","77.0015","88.0171"
"882","D3CA30","Chacoan subregion","81.1152","36.5458"
"883","D3CA30","Brazilian subregion","86.6818","48.0113"
"884","D3CA30","South American Transition Zone","36.6866","3.4589"
"885","D3CA30","Antillean subregion","0.1654","0.0022"
"886","D3CA30","Chacoan dominion","72.3183","22.2282"
"887","D3CA30","Boreal Brazilian dominion","98.1168","20.0969"
"888","D3CA30","Parana dominion","100","8.1648"
"889","D3CA30","South-eastern Amazonian dominion","100","6.1541"
"890","D3CA30","South Brazilian dominion","99.529","20.2228"
"891","D3CA30","Pacific dominion","85.3723","7.692"
"892","D3CA30","Caatinga province","89.5654","4.2139"
"893","D3CA30","Cerrado province","100","12.031"
"894","D3CA30","Pará province","96.0576","2.1393"
"895","D3CA30","Araucaria Forest province","100","1.218"
"896","D3CA30","Xingu-Tapajós province","100","6.1541"
"897","D3CA30","Atlantic province","100","1.8742"
"898","D3CA30","Roraima province","98.0167","3.7038"
"899","D3CA30","Guianan Lowlands province","93.1517","3.0402"
"900","D3CA30","Pampean province","20.4078","1.4423"
"901","D3CA30","Chacoan province","65.4983","4.5424"
"902","D3CA30","Madeira province","100","8.8899"
"903","D3CA30","Rondônia province","100","8.3758"
"904","D3CA30","Ucayali province","100","1.2132"
"905","D3CA30","Parana Forest province","100","5.0749"
"906","D3CA30","Yungas province","94.8007","1.745"
"907","D3CA30","Puna province","57.1597","1.9604"
"908","D3CA30","Atacaman province","15.8834","0.1069"
"909","D3CA30","Desert province","80.2848","0.8002"
"910","D3CA30","Ecuadorian province","92.4783","0.2491"
"911","D3CA30","Western Ecuador province","89.838","0.355"
"912","D3CA30","Chocó-Darién province","81.8463","0.3901"
"913","D3CA30","Guajira province","67.6444","0.6833"
"914","D3CA30","Venezuelan province","100","0.6204"
"915","D3CA30","Sabana province","100","2.7783"
"916","D3CA30","Trinidad province","100","0.0287"
"917","D3CA30","Pantepui province","100","3.3021"
"918","D3CA30","Imerí province","100","6.2459"
"919","D3CA30","Magdalena province","98.9189","1.3145"
"920","D3CA30","Napo province","100","1.6659"
"921","D3CA30","Cauca province","98.0236","1.2621"
"922","D3CA30","Paramo province","100","0.5916"
"923","D3CA30","Guatuso-Talamanca province","2.7796","0.0108"
"924","D3CA30","Lesser Antilles province","5.9922","0.0022"
"925","D3CA31","Neotropical region","6.588","91.0515"
"926","D3CA31","Chacoan subregion","9.2658","50.4761"
"927","D3CA31","Brazilian subregion","6.0589","40.5765"
"928","D3CA31","Chacoan dominion","2.2582","8.3924"
"929","D3CA31","Boreal Brazilian dominion","14.6717","36.3355"
"930","D3CA31","South-eastern Amazonian dominion","56.557","42.084"
"931","D3CA31","South Brazilian dominion","1.7263","4.2409"
"932","D3CA31","Cerrado province","5.7692","8.3924"
"933","D3CA31","Pará province","61.8996","16.6688"
"934","D3CA31","Xingu-Tapajós province","56.557","42.084"
"935","D3CA31","Roraima province","43.0446","19.6668"
"936","D3CA31","Madeira province","3.9455","4.2409"
"937","D3CA4","Neotropical region","29.4387","88.3604"
"938","D3CA4","Chacoan subregion","61.4788","72.7332"
"939","D3CA4","Brazilian subregion","10.5975","15.4131"
"940","D3CA4","South American Transition Zone","0.8708","0.2156"
"941","D3CA4","Chacoan dominion","57.4262","46.3488"
"942","D3CA4","Boreal Brazilian dominion","0.1252","0.0673"
"943","D3CA4","Parana dominion","93.3773","20.0197"
"944","D3CA4","South-eastern Amazonian dominion","39.4045","6.3677"
"945","D3CA4","South Brazilian dominion","28.7624","15.3458"
"946","D3CA4","Caatinga province","68.3798","8.4479"
"947","D3CA4","Cerrado province","90.775","28.6775"
"948","D3CA4","Pará province","1.1511","0.0673"
"949","D3CA4","Araucaria Forest province","96.4937","3.0861"
"950","D3CA4","Xingu-Tapajós province","39.4045","6.3677"
"951","D3CA4","Atlantic province","83.8467","4.1265"
"952","D3CA4","Pampean province","5.6991","1.0576"
"953","D3CA4","Chacoan province","44.8605","8.1694"
"954","D3CA4","Madeira province","19.6615","4.5897"
"955","D3CA4","Rondônia province","45.8066","10.0745"
"956","D3CA4","Parana Forest province","96.1508","12.813"
"957","D3CA4","Yungas province","14.1046","0.6817"
"958","D3CA4","Puna province","2.3938","0.2156"
"959","D3CA5","Neotropical region","21.8604","97.3125"
"960","D3CA5","Chacoan subregion","5.1527","9.0409"
"961","D3CA5","Brazilian subregion","36.1553","77.9885"
"962","D3CA5","South American Transition Zone","28.011","10.285"
"963","D3CA5","Chacoan dominion","7.0068","8.3873"
"964","D3CA5","South-eastern Amazonian dominion","2.7275","0.6537"
"965","D3CA5","South Brazilian dominion","80.6622","63.8269"
"966","D3CA5","Pacific dominion","8.8308","3.0986"
"967","D3CA5","Boreal Brazilian dominion","13.8696","11.0635"
"968","D3CA5","Cerrado province","5.3212","2.4932"
"969","D3CA5","Xingu-Tapajós province","2.7275","0.6537"
"970","D3CA5","Chacoan province","21.8233","5.8941"
"971","D3CA5","Madeira province","63.3381","21.9282"
"972","D3CA5","Rondônia province","93.1439","30.3823"
"973","D3CA5","Ucayali province","100","4.7247"
"974","D3CA5","Yungas province","94.8005","6.7959"
"975","D3CA5","Puna province","52.1223","6.9616"
"976","D3CA5","Desert province","70.83","2.7494"
"977","D3CA5","Ecuadorian province","92.4783","0.9702"
"978","D3CA5","Western Ecuador province","14.5841","0.2244"
"979","D3CA5","Imerí province","20.1643","4.9048"
"980","D3CA5","Napo province","94.9309","6.1587"
"981","D3CA5","Cauca province","37.9757","1.9042"
"982","D3CA5","Paramo province","24.9381","0.5745"
"983","D3CA6","Neotropical region","28.2347","91.9239"
"984","D3CA6","Chacoan subregion","9.4527","12.1303"
"985","D3CA6","Brazilian subregion","50.5707","79.7798"
"986","D3CA6","South American Transition Zone","0.0529","0.0142"
"987","D3CA6","Chacoan dominion","0.1433","0.1255"
"988","D3CA6","Boreal Brazilian dominion","87.2577","50.9059"
"989","D3CA6","South-eastern Amazonian dominion","68.4878","12.0048"
"990","D3CA6","South Brazilian dominion","38.3623","22.2011"
"991","D3CA6","Pacific dominion","26.0047","6.6735"
"992","D3CA6","Cerrado province","0.3661","0.1255"
"993","D3CA6","Pará province","61.4777","3.8998"
"994","D3CA6","Xingu-Tapajós province","68.4878","12.0048"
"995","D3CA6","Roraima province","100","10.7628"
"996","D3CA6","Guianan Lowlands province","100","9.2959"
"997","D3CA6","Madeira province","79.6744","20.174"
"998","D3CA6","Rondônia province","6.8136","1.6255"
"999","D3CA6","Ucayali province","11.6228","0.4016"
"1000","D3CA6","Venezuelan province","44.6446","0.7889"
"1001","D3CA6","Sabana province","74.3644","5.8846"
"1002","D3CA6","Pantepui province","100","9.4052"
"1003","D3CA6","Imerí province","92.3667","16.4321"
"1004","D3CA6","Napo province","23.4489","1.1126"
"1005","D3CA6","Paramo province","0.8436","0.0142"
"1006","D3CA7","Neotropical region","6.9795","77.266"
"1007","D3CA7","Brazilian subregion","14.2399","76.387"
"1008","D3CA7","Chacoan subregion","0.2014","0.879"
"1009","D3CA7","Boreal Brazilian dominion","34.936","69.3038"
"1010","D3CA7","South-eastern Amazonian dominion","1.4748","0.879"
"1011","D3CA7","Pacific dominion","8.1193","7.085"
"1012","D3CA7","Pará province","4.1872","0.9032"
"1013","D3CA7","Xingu-Tapajós province","1.4748","0.879"
"1014","D3CA7","Roraima province","45.801","16.7618"
"1015","D3CA7","Guianan Lowlands province","100","31.6091"
"1016","D3CA7","Venezuelan province","23.3002","1.4"
"1017","D3CA7","Sabana province","21.1282","5.6851"
"1018","D3CA7","Pantepui province","62.6542","20.0372"
"1019","D3CA8","Neotropical region","10.9815","61.2367"
"1020","D3CA8","Brazilian subregion","21.8992","59.1732"
"1021","D3CA8","South American Transition Zone","4.2205","1.9412"
"1022","D3CA8","Antillean subregion","1.898","0.1236"
"1023","D3CA8","Boreal Brazilian dominion","20.8696","20.8536"
"1024","D3CA8","Pacific dominion","83.0561","36.5071"
"1025","D3CA8","Mesoamerican dominion","6.6672","1.8141"
"1026","D3CA8","Guianan Lowlands province","14.5912","2.3232"
"1027","D3CA8","Chocó-Darién province","89.9228","2.0911"
"1028","D3CA8","Guajira province","100","4.9277"
"1029","D3CA8","Venezuelan province","100","3.0265"
"1030","D3CA8","Sabana province","100","13.5537"
"1031","D3CA8","Trinidad province","100","0.1401"
"1032","D3CA8","Pantepui province","55.3584","8.9177"
"1033","D3CA8","Imerí province","30.1985","9.2016"
"1034","D3CA8","Magdalena province","100","6.4826"
"1035","D3CA8","Napo province","5.0691","0.412"
"1036","D3CA8","Cauca province","41.5635","2.6107"
"1037","D3CA8","Paramo province","67.2665","1.9412"
"1038","D3CA8","Puntarenas-Chiriquí province","100","1.786"
"1039","D3CA8","Pacific Lowlands province","12.4311","1.0321"
"1040","D3CA8","Guatuso-Talamanca province","100","1.8901"
"1041","D3CA8","Lesser Antilles province","68.7574","0.1236"
"1042","D3CA8","Mosquito province","17.8585","0.7819"
"1043","D3CA9","Neotropical region","3.8646","80.2704"
"1044","D3CA9","Brazilian subregion","7.0808","71.2656"
"1045","D3CA9","South American Transition Zone","5.259","9.0098"
"1046","D3CA9","Pacific dominion","30.9969","50.7485"
"1047","D3CA9","Boreal Brazilian dominion","5.5127","20.5179"
"1048","D3CA9","Chocó-Darién province","81.8463","7.0891"
"1049","D3CA9","Guajira province","23.0136","4.224"
"1050","D3CA9","Sabana province","10.498","5.2999"
"1051","D3CA9","Imerí province","7.6333","8.6634"
"1052","D3CA9","Magdalena province","98.9189","23.885"
"1053","D3CA9","Napo province","39.1617","11.8544"
"1054","D3CA9","Cauca province","42.9828","10.0564"
"1055","D3CA9","Paramo province","83.8189","9.0098"
"1056","D3CA9","Guatuso-Talamanca province","2.7796","0.1957"
